train_no,station_code,arrival_time,departure_time,arrival_minutes,departure_minutes,halt_mins,distance_km,day_count
12933,ANND,18:10,18:12,1090,1092,2,1110.0,1
12933,ND,18:28,18:30,1108,1110,2,1129.0,1
12933,ADI,21:05,Destination,1265,,0,1172.0,1
22945,BRC,Source,01:30,,90,0,1075.0,1
22945,ANND,02:05,02:07,125,127,2,1110.0,1
22945,ADI,03:25,03:35,205,215,10,1172.0,1
22945,VG,04:40,04:42,280,282,2,1237.0,1
22945,SUNR,05:50,05:52,350,352,2,1303.0,1
22945,WKR,07:00,07:02,420,422,2,1377.0,1
22945,RJT,08:05,08:15,485,495,10,1419.0,1
22945,HAPA,09:30,09:32,570,572,2,1495.0,1
22945,JAM,09:45,09:50,585,590,5,1504.0,1
22945,DWK,12:50,12:55,770,775,5,1641.0,1
22945,OKHA,14:50,Destination,890,,0,1670.0,1
22955,ST,Source,17:50,,1070,0,945.0,1
22955,BRC,19:25,19:30,1165,1170,5,1075.0,1
22955,ANND,20:08,20:10,1208,1210,2,1110.0,1
22955,ADI,21:40,21:55,1300,1315,15,1172.0,1
22955,VG,23:05,23:07,1385,1387,2,1237.0,1
22955,GIMB,04:30,04:50,270,290,20,1475.0,2
22955,BHUJ,08:30,Destination,510,,0,1533.0,2
12915,ADI,Source,19:15,,1155,0,1172.0,1
12915,SBIB,19:28,19:30,1168,1170,2,1178.0,1
12915,MSH,20:25,20:27,1225,1227,2,1242.0,1
12915,UJA,20:47,20:49,1247,1249,2,1264.0,1
12915,SID,21:03,21:05,1263,1265,2,1277.0,1
12915,PNU,22:10,Destination,1330,,0,1307.0,1
69115,BRC,Source,08:45,,525,0,1075.0,1
69115,ANND,09:18,09:20,558,560,2,1110.0,1
69115,ND,09:40,09:42,580,582,2,1129.0,1
69115,MHD,10:05,10:06,605,606,1,1147.0,1
69115,MAN,10:45,10:47,645,647,2,1168.0,1
69115,ADI,11:30,Destination,690,,0,1172.0,1
G-MUNDRA-101,MDVB,Source,01:15,,75,0,1520.0,1
G-MUNDRA-101,GIMB,02:30,02:40,150,160,10,1475.0,1
G-MUNDRA-101,VG,05:45,05:55,345,355,10,1237.0,1
G-MUNDRA-101,MSH,07:15,07:25,435,445,10,1242.0,1
G-MUNDRA-101,PNU,08:40,Destination,520,,0,1307.0,1
G-RELIANCE-105,JAM,Source,01:45,,105,0,1504.0,1
G-RELIANCE-105,RJT,03:10,03:20,190,200,10,1419.0,1
G-RELIANCE-105,SUNR,05:00,05:10,300,310,10,1303.0,1
G-RELIANCE-105,VG,06:30,06:40,390,400,10,1237.0,1
G-RELIANCE-105,ADI,07:45,08:00,465,480,15,1172.0,1
G-RELIANCE-105,BRC,09:30,Destination,570,,0,1075.0,1
